State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ILLINOIS,AURORA,2016,"201,159",314,2,28,56,228,"1,215",207,945,63,13
,,2017,,259,4,30,48,177,"1,195",185,923,87,10
,CHICAGO,2016,"2,725,153","13,810",323,819,"5,164","7,504","39,442","6,198","28,077","5,167",284
,,2017,,"14,007",328,808,"5,385","7,486","41,298","6,262","29,423","5,613",262
,ELGIN,2016,"112,886",119,0,16,34,69,679,85,563,31,10
,,2017,,117,0,16,25,76,720,101,581,38,2
,JOLIET,2016,"147,886",247,2,28,58,159,"1,384",282,"1,047",55,24
,,2017,,281,5,33,75,168,"1,227",230,933,64,43
,NAPERVILLE,2016,"148,070",38,0,4,14,20,725,71,636,18,2
,,2017,,65,1,14,15,35,732,60,652,20,6
,PEORIA,2016,"115,099",378,6,34,121,217,"1,992",468,"1,449",75,36
,,2017,,429,6,31,140,252,"2,171",518,"1,536",117,18
,ROCKFORD,2016,"147,363","1,250",11,72,264,903,"2,717",601,"1,893",223,30
,,2017,,"1,149",9,52,208,880,"2,397",640,"1,564",193,12
,SPRINGFIELD,2016,"116,563",600,3,53,95,449,"2,378",512,"1,769",97,15
,,2017,,643,5,42,116,480,"2,396",550,"1,696",150,20
INDIANA,EVANSVILLE,2016,"119,908",359,5,44,98,212,"2,898",468,"2,240",190,
,,2017,,451,4,30,86,331,"2,899",425,"2,268",206,16
,FORT WAYNE,2016,"261,642",450,16,47,161,226,"3,976",768,"3,062",146,28
,,2017,,462,12,57,151,242,"4,191",611,"3,343",237,40
,SOUTH BEND,2016,"101,621",465,6,43,136,280,"2,201",485,"1,517",199,18
,,2017,,468,9,47,163,249,"2,492",629,"1,630",233,24
KANSAS,OLATHE,2016,"135,977",111,1,23,15,72,986,80,821,85,1
,,2017,,129,1,44,18,66,931,74,792,65,2
,OVERLAND PARK,2016,"189,104",188,1,69,20,98,"1,376",235,"1,000",141,8
,,2017,,199,3,50,32,114,"1,475",160,"1,185",130,2
,TOPEKA,2016,"127,166",304,8,27,100,169,"3,302",512,"2,439",351,1
,,2017,,371,15,25,112,219,"3,124",467,"2,280",377,5
KENTUCKY,LEXINGTON,2016,"317,853",511,12,89,276,134,"6,136","1,085","4,545",506,23
,,2017,,544,9,91,281,163,"5,884","1,113","4,150",621,22
,LOUISVILLE METRO,2016,"683,825","2,261",54,89,746,"1,372","14,552","2,829","9,696","2,027",6
,,2017,,"2,170",73,73,655,"1,369","13,473","2,793","8,796","1,884",2
LOUISIANA,BATON ROUGE,2016,"228,389",979,15,53,348,563,"4,708","1,058","3,381",269,65
,,2017,,"1,205",33,47,448,677,"6,120","1,308","4,317",495,79
,LAFAYETTE,2016,"128,923",333,5,12,83,233,"3,156",533,"2,447",176,11
